Class,Directory,Filename,Short name,mean,std
,,C:\Users\jw295\Tom Desktop Backup\Work\Skin Sample Library\Raw Data\Benign Nevi\Microscope 1 Batch 1 Case 1\case01_timeStudy_720pump.dat,,0.004187,0.128996
,,C:\Users\jw295\Tom Desktop Backup\Work\Skin Sample Library\Raw Data\Benign Nevi\Microscope 1 Batch 1 Case 2\case02_timeStudy_720pump.dat,,0.000246,0.113346
,,C:\Users\jw295\Tom Desktop Backup\Work\Skin Sample Library\Raw Data\Benign Nevi\Microscope 1 Batch 1 Case 3\case03_timeStudy_720pump.dat,,-0.000670,0.111667
,,C:\Users\jw295\Tom Desktop Backup\Work\Skin Sample Library\Raw Data\Benign Nevi\Microscope 1 Batch 1 Case 5\case05_720pump_PCstack.dat,,-0.007229,0.131359
,,C:\Users\jw295\Tom Desktop Backup\Work\Skin Sample Library\Raw Data\Benign Nevi\Microscope 1 Batch 2 Case 5a\ase5a_720pump_810probe_FoV1.dat,,-0.104149,0.285289
,,C:\Users\jw295\Tom Desktop Backup\Work\Skin Sample Library\Raw Data\Benign Nevi\Microscope 1 Batch 2 Case 5a\ase5a_720pump_810probe_FoV2.dat,,-0.109116,0.324097
,,C:\Users\jw295\Tom Desktop Backup\Work\Skin Sample Library\Raw Data\Benign Nevi\Microscope 1 Batch 2 Case 7a Dermal Nevus\ase7a_720pump_810probe_FoV1.dat,,-0.080152,0.152610
,,C:\Users\jw295\Tom Desktop Backup\Work\Skin Sample Library\Raw Data\Benign Nevi\Microscope 1 Batch 2 Case 7a Dermal Nevus\ase7a_720pump_810probe_FoV2.dat,,-0.083623,0.135683
,,C:\Users\jw295\Tom Desktop Backup\Work\Skin Sample Library\Raw Data\Benign Nevi\Microscope 1 Batch 2 Case 7a Dermal Nevus\ase7a_720pump_810probe_FoV3.dat,,-0.063307,0.130160
,,C:\Users\jw295\Tom Desktop Backup\Work\Skin Sample Library\Raw Data\Benign Nevi\Microscope 2 Batch 1 Case 4\batch1_case04_FoV1.dat,,-0.030503,0.010876
,,C:\Users\jw295\Tom Desktop Backup\Work\Skin Sample Library\Raw Data\Benign Nevi\Microscope 2 Batch 4 Case 2T\batchD_sample2T_FoV1.dat,,-0.103066,0.060990
,,C:\Users\jw295\Tom Desktop Backup\Work\Skin Sample Library\Raw Data\Benign Nevi\Microscope 2 Batch 4 Case 2X\batchD_sample2X_FoV1.dat,,-0.031286,0.031912
,,C:\Users\jw295\Tom Desktop Backup\Work\Skin Sample Library\Raw Data\Benign Nevi\Microscope 2 Batch 4 Case 2Z\batchD_sample2Z_FoV1.dat,,-0.031722,0.050550
,,C:\Users\jw295\Tom Desktop Backup\Work\Skin Sample Library\Raw Data\Benign Nevi\Microscope 2 Batch 4 Case 2Z1\batchD_sample2Z1_FoV1.dat,,-0.033569,0.071458
